"","pd_obs","pd_rand_mean","pd_rand_sd","pd_obs_z","pd_obs_c_upper","pd_obs_c_lower","pd_obs_q","pd_obs_p_upper","pd_obs_p_lower","pd_alt_obs","pd_alt_rand_mean","pd_alt_rand_sd","pd_alt_obs_z","pd_alt_obs_c_upper","pd_alt_obs_c_lower","pd_alt_obs_q","pd_alt_obs_p_upper","pd_alt_obs_p_lower","rpd_obs","rpd_rand_mean","rpd_rand_sd","rpd_obs_z","rpd_obs_c_upper","rpd_obs_c_lower","rpd_obs_q","rpd_obs_p_upper","rpd_obs_p_lower","pe_obs","pe_rand_mean","pe_rand_sd","pe_obs_z","pe_obs_c_upper","pe_obs_c_lower","pe_obs_q","pe_obs_p_upper","pe_obs_p_lower","pe_alt_obs","pe_alt_rand_mean","pe_alt_rand_sd","pe_alt_obs_z","pe_alt_obs_c_upper","pe_alt_obs_c_lower","pe_alt_obs_q","pe_alt_obs_p_upper","pe_alt_obs_p_lower","rpe_obs","rpe_rand_mean","rpe_rand_sd","rpe_obs_z","rpe_obs_c_upper","rpe_obs_c_lower","rpe_obs_q","rpe_obs_p_upper","rpe_obs_p_lower"
"30SWJ20",0.0734059005197803,0.110835052526569,0.0217185937328571,-1.72336903886016,130,869,999,0.13013013013013,0.86986986986987,0.104761904761905,0.0792745126078459,0.0221329616028067,1.1515581426223,828,82,999,0.828828828828829,0.0820820820820821,0.700692686779722,1.52389210236963,0.541248834895673,-1.52092598175954,46,953,999,0.046046046046046,0.953953953953954,4.02871662562152e-05,9.53674109952335e-05,0.000139914367442311,-0.393671112880732,109,890,999,0.109109109109109,0.890890890890891,0.000108382641092918,9.36611093900799e-05,0.000116894997239042,0.125938081616391,788,211,999,0.788788788788789,0.211211211211211,0.371712350335478,1.21402640766638,0.713513966095986,-1.18051516488129,36,963,999,0.036036036036036,0.963963963963964
"30TVN40",0.220195783586494,0.222413789256828,0.038772215425801,-0.0572060596995783,493,506,999,0.493493493493493,0.506506506506507,0.20952380952381,0.172262738929406,0.0195330967092413,1.90758644924823,967,20,999,0.967967967967968,0.02002002002002,1.05093442166281,1.30901666014787,0.282834964549608,-0.912483500390534,174,825,999,0.174174174174174,0.825825825825826,0.000345196805535709,0.000291131185976922,0.000288673845955867,0.187289636093505,787,212,999,0.787787787787788,0.212212212212212,0.000372330381228443,0.000319277298462312,0.000305154591714342,0.173856413131724,775,224,999,0.775775775775776,0.224224224224224,0.927125002254149,1.00244540333202,0.570660241016479,-0.131988170305524,564,435,999,0.564564564564565,0.435435435435435
"30SWJ21",0.120930898165894,0.109685472628893,0.0223991456389506,0.502047074395829,658,341,999,0.658658658658659,0.341341341341341,0.114285714285714,0.0795223795223795,0.0226183117543747,1.53695532809212,949,33,999,0.94994994994995,0.033033033033033,1.05814535895157,1.51782072087264,0.579627560141552,-0.793052976654198,219,780,999,0.219219219219219,0.780780780780781,9.39216698852591e-05,9.41861713658094e-05,0.000110737038325676,-0.0023885547649591,785,214,999,0.785785785785786,0.214214214214214,0.000106568165929367,9.1120093313196e-05,8.65248437816494e-05,0.178539156397149,769,230,999,0.76976976976977,0.23023023023023,0.881329513989292,1.22408351298351,0.810905099971514,-0.422680778559979,406,593,999,0.406406406406406,0.593593593593594
"30TVN41",0.0641724325550737,0.064172437534825,2.4737418140439e-09,-2.01304410463284,131,821,999,0.131131131131131,0.821821821821822,0.0333333333333333,0.0465513132179799,0.0220320252103111,-0.599943934271664,283,594,999,0.283283283283283,0.594594594594595,1.92517297665221,1.73658884154019,0.836877504498363,0.225342578929827,594,361,999,0.594594594594595,0.361361361361361,4.9077424095218e-05,4.95471140253285e-05,7.26604773854722e-05,-0.0064641734683183,812,187,999,0.812812812812813,0.187187187187187,2.4254368591939e-05,5.02680672864558e-05,7.86803375991947e-05,-0.330625153479046,371,628,999,0.371371371371371,0.628628628628629,2.02344678275934,1.44316222603287,0.887719717416192,0.6536799232256,765,234,999,0.765765765765766,0.234234234234234
"30TVN42",0.1283448779462,0.110174127269391,0.0223970768548534,0.811300099319503,923,76,999,0.923923923923924,0.0760760760760761,0.0952380952380952,0.0791315124648458,0.022390143109053,0.719360421003162,653,244,999,0.653653653653654,0.244244244244244,1.34762121843511,1.5276807496592,0.570402047878255,-0.315671256605519,475,524,999,0.475475475475475,0.524524524524524,8.00865705587084e-05,0.000117386133250642,0.000359158425658168,-0.103852673436747,676,323,999,0.676676676676677,0.323323323323323,0.000106559859597709,0.000100750346310117,0.000121831938917851,0.0476846493554495,742,257,999,0.742742742742743,0.257257257257257,0.751564152402751,1.22541744599609,0.80280933762499,-0.590243874087437,320,679,999,0.32032032032032,0.67967967967968
"30SWJ23",0.0641724325550737,0.0641724376242356,2.32839883075813e-09,-2.17710207996522,111,850,999,0.111111111111111,0.850850850850851,0.0333333333333333,0.0485247151913819,0.0223748826134425,-0.678948002566135,263,621,999,0.263263263263263,0.621621621621622,1.92517297665221,1.66824935990012,0.823370517839587,0.312038883085368,621,342,999,0.621621621621622,0.342342342342342,4.9077424095218e-05,6.41727533786712e-05,0.000234305306514838,-0.0644258958876682,807,192,999,0.807807807807808,0.192192192192192,2.4254368591939e-05,5.62078959102085e-05,9.79776429805018e-05,-0.326130802356906,308,691,999,0.308308308308308,0.691691691691692,2.02344678275934,1.37385457119168,0.892278836867211,0.728014814122873,788,211,999,0.788788788788789,0.211211211211211
"30TVN43",0.188888710467787,0.173924539963795,0.0367816654902063,0.406837762905996,577,422,999,0.577577577577578,0.422422422422422,0.157142857142857,0.130020496687163,0.0200412937233994,1.35332383378159,903,55,999,0.903903903903904,0.0550550550550551,1.20201906661319,1.37813616068695,0.399635363675848,-0.440694468211814,381,618,999,0.381381381381381,0.618618618618619,0.000132628985693918,0.000252791090992859,0.00155532749286629,-0.0772583946789859,500,499,999,0.500500500500501,0.4994994994995,0.00023967124100104,0.000208440554015749,0.000218557437592383,0.142894642842296,784,215,999,0.784784784784785,0.215215215215215,0.553378808153885,1.07773458245451,0.706489686760358,-0.742198766842708,144,855,999,0.144144144144144,0.855855855855856
"30TXK43",0.336526802306318,0.317200798695427,0.0343202025190261,0.563108670474088,718,281,999,0.718718718718719,0.281281281281281,0.285714285714286,0.273969207302541,0.0195134763879233,0.60189574518941,694,227,999,0.694694694694695,0.227227227227227,1.17784380807211,1.16263587669155,0.144805933445924,0.105022846914217,549,450,999,0.54954954954955,0.45045045045045,0.000278777021455189,0.000708395489742608,0.00227308486868641,-0.18900238799077,104,895,999,0.104104104104104,0.895895895895896,0.000366171934648434,0.000677277161733976,0.000405174012557181,-0.767831147713692,67,932,999,0.0670670670670671,0.932932932932933,0.761328204256959,0.939617027432393,0.585331871587267,-0.304594422121524,449,550,999,0.449449449449449,0.550550550550551
"30SWJ26",0.0641724382295473,0.0641724375439027,2.42986351691197e-09,0.282174113074332,374,599,999,0.374374374374374,0.5995995995996,0.0523809523809524,0.0471662138328805,0.022399292588224,0.232808180326794,619,352,999,0.61961961961962,0.352352352352352,1.22511018438227,1.72303951890361,0.844515918555013,-0.589603255049723,352,621,999,0.352352352352352,0.621621621621622,2.82612382692645e-05,5.94627074956575e-05,0.000213711420540231,-0.145998136868494,294,705,999,0.294294294294294,0.705705705705706,3.1657663184888e-05,5.11740555320749e-05,8.59607593909723e-05,-0.227038389207582,514,485,999,0.514514514514514,0.485485485485485,0.89271397273426,1.4358365981311,0.922453879913636,-0.588780249314676,381,618,999,0.381381381381381,0.618618618618619
"30TXK44",0.336526801868085,0.320899079767829,0.0346253337922952,0.451337803528504,670,329,999,0.670670670670671,0.329329329329329,0.271428571428572,0.273015873015873,0.0212092882525361,-0.0748399271301232,423,487,999,0.423423423423423,0.487487487487487,1.23983558582978,1.18184748252883,0.155271240217018,0.373463258359433,677,322,999,0.677677677677678,0.322322322322322,0.000354944774021108,0.000774394413378138,0.00270220677551567,-0.155224849244553,246,753,999,0.246246246246246,0.753753753753754,0.000364018148976363,0.000709714651138132,0.000549539994401827,-0.629065228524558,72,927,999,0.0720720720720721,0.927927927927928,0.975074388513954,0.973945456716521,0.667271046871543,0.00169186390257176,646,353,999,0.646646646646647,0.353353353353353
